quote,author,category
We accept the love we think we deserve.,"Stephen Chbosky, The Perks of Being a Wallflower","inspirational, love"
"Love all, trust a few, do wrong to none.","William Shakespeare, All's Well That Ends Well","do-wrong, love, trust, wrong"
"You love me. Real or not real?""I tell him, ""Real.","Suzanne Collins, Mockingjay","katniss, love, peeta, suzanne-collins, the-hunger-games"
"Love is like the wind, you can't see it but you can feel it.","Nicholas Sparks, A Walk to Remember","love, simile"
"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,"attributed-no-source, girls, love"
To die will be an awfully big adventure.,"J.M. Barrie, Peter Pan","adventure, love"
We love the things we love for what they are.,Robert Frost,"love, poetry"
I would die for you. But I won't live for you.,"Stephen Chbosky, The Perks of Being a Wallflower",love
"You are, and always have been, my dream.","Nicholas Sparks, The Notebook",love
Where there is love there is life.,Mahatma Gandhi,"life, love"
Never love anyone who treats you like you're ordinary.,Oscar Wilde,"love, ordinary, people"
I would always rather be happy than dignified.,"Charlotte Brontë, Jane Eyre","love, pride, women"
We loved with a love that was more than love.,Edgar Allan Poe,"logic, love"
What's meant to be will always find a way,Trisha Yearwood,"fate, inspiration, love"
The heart was made to be broken.,Oscar Wilde,"heartbreak, love"
"Love is so short, forgetting is so long.","Pablo Neruda, Love: Ten Poems",love
The very essence of romance is uncertainty.,"Oscar Wilde, The Importance of Being Earnest and Other Plays","love, romance"
"And, in the endThe love you takeis equal to the love you make.","Paul McCartney, The Beatles Illustrated Lyrics","beatles, inspirational, live, love, music"
"If you remember me, then I don't care if everyone else forgets.","Haruki Murakami, Kafka on the Shore","inspirational, love"
"It was love at first sight, at last sight, at ever and ever sight.","Vladimir Nabokov, Lolita","humbert-humbert, love"
I love you. Remember. They cannot take it,"Lauren Oliver, Delirium","amor-deliria-nervosa, love"
When love is not madness it is not love.,Pedro Calderón de la Barca,"love, romance"
Declarations of love amuse me. Especially when unrequited.,"Cassandra Clare, City of Bones","clary-fray, jace-wayland, love"
Love is an irresistible desire to be irresistibly desired.,Robert Frost,love
"If I can stop one heart from breaking, I shall not live in vain.",Emily Dickinson,"life, love"
"The greater the love, the greater the tragedy when it's over.","Nicholas Sparks, Nights in Rodanthe",love
"Hate the sin, love the sinner.",Mahatma Gandhi,"hate, love, religion, sin, sinners"
"One love, one heart, one destiny.",Bob Marley,"bob-marley, compassion, destiny, heart, humanity, inspirational, love"
I love you like a fat kid loves cake!,Scott Adams,"food, humor, love"
Gravitation is not responsible for people falling in love.,Albert Einstein,love
Find what you love and let it kill you.,Charles Bukowski,love
Look after my heart - I've left it with you.,"Stephenie Meyer, Eclipse","bella, edward, love, twilight-saga"
I want to do with you what spring does with the cherry trees.,"Pablo Neruda, Twenty Love Poems and a Song of Despair",love
"How do you spell 'love'?"" - Piglet""You don't spell it...you feel it."" - Pooh",A.A. Milne,"love, piglet, pooh-bear, winnie-the-pooh"
Happiness [is] only real when shared,"Jon Krakauer, Into the Wild","family, happiness, inspirational, love, marriage"
"I wasn't actually in love, but I felt a sort of tender curiosity.","F. Scott Fitzgerald, The Great Gatsby","affection, amity, love"
A half-read book is a half-finished love affair.,"David Mitchell, Cloud Atlas","books, love, reading"
To love oneself is the beginning of a lifelong romance.,"Oscar Wilde, An Ideal Husband",love
I like flaws. I think they make things interesting.,"Sarah Dessen, The Truth About Forever","life, love"
I'm oxygen and he's dying to breathe.,"Tahereh Mafi, Shatter Me","beautiful, couples, kiss, love, metaphor, need, ya"
"Who, being loved, is poor?",Oscar Wilde,love
"When I saw you I fell in love, and you smiled because you knew.",Arrigo Boito,love
"The more one judges, the less one loves.","Honoré de Balzac, Physiologie Du Mariage","human-nature, love"
The heart has its reasons which reason knows not.,Blaise Pascal,"heart, love, quip, reason"
"Come sleep with me: We won't make Love, Love will make us.",Julio Cortázar,"love, poem, relationships, romance"
Don't cry over someone who wouldn't cry over you.,Lauren Conrad,"crying, heartache, love, sadness, tears"
"This is where it all begins. Everything starts here, today.","David Nicholls, One Day","hope, love"
True love is usually the most inconvenient kind.,"Kiera Cass, The Selection","inconvenient, love, relationship, true-love"
My wish is that you may be loved to the point of madness.,"André Breton, What is Surrealism?: Selected Writings","love, madness"
"The things we love destroy us every time, lad. Remember that.","George R.R. Martin, A Game of Thrones","love, mormont"
"I won't ever leave you, even though you're always leaving me.","Audrey Niffenegger, The Time Traveler's Wife","heartbreak, love"
You have to kiss a lot of frogs before you find your prince,"E.L. James, Fifty Shades of Grey",love
The course of true love never did run smooth.,"William Shakespeare, A Midsummer Night's Dream","love, true-love"
"For where all love is, the speaking is unnecessary","Diana Gabaldon, Outlander",love
sex is the consolation you have when you can't have love,Gabriel García Márquez,"desire, loneliness, love, lust, passion, sex"
I'd learned that some things are best kept secret.,"Nicholas Sparks, Dear John","life, love, secrets"
"Don't waste your love on somebody, who doesn't value it.","William Shakespeare, Romeo and Juliet","love, romeo-and-juliet, values, waste"
"Love is how you stay alive, even after you are gone.",Mitch Albom,"death, immortality, love"
It's not how much we give but how much love we put into giving.,Mother Teresa,"charity, giving, love"
"And what would humans be without love?""RARE, said Death.","Terry Pratchett, Sourcery","death, love"
The soul is healed by being with children.,Fyodor Dostoyevsky,"children, healing, humility, inspiration, love, openness, society"
If you're a bird... I'm a bird...,"Nicholas Sparks, The Notebook",love
"I belong to my beloved, and my beloved is mine.","Jamie McGuire, Beautiful Disaster","love, romance"
It's hard being left behind. (...) It's hard to be the one who stays.,"Audrey Niffenegger, The Time Traveler's Wife","being-left, love, time, waiting"
"Moments, when lost, can't be found again. They're just gone.","Jenny Han, The Summer I Turned Pretty","bellys, love, missed-chances, romance"
"Trust no friend without faults, and love a woman, but no angel.",Doris Lessing,"friendship, love, trust"
There is always something left to love.,"Gabriel García Márquez, One Hundred Years of Solitude",love
We must love one another or die,W.H. Auden,love
"If a thing loves, it is infinite.",William Blake,love
Love is a better master than duty.,Albert Einstein,love
You are like nobody since I love you.,Pablo Neruda,love
"After all this time?""""Always...","J.K. Rowling, Harry Potter and the Deathly Hallows",love
There is nothing more truly artistic than to love people.,Vincent van Gogh,"art, love"
"In love, no question is ever preposterous.","André Brink, Before I Forget",love
"Love, n. A temporary insanity curable by marriage.","Ambrose Bierce, The Unabridged Devil's Dictionary","insanity, love, marriage"
What greater gift than the love of a cat.,Charles Dickens,"cats, gifts, love"
We are all worthy of one another.,"Edward P. Jones, The Known World","love, worthiness"
Lovers alone wear sunlight.,E.E. Cummings,"adoration, love, poetry"
Oh no. Don't smile. You'll kill me. I stop breathing when you smile.,"Tessa Dare, A Lady of Persuasion","breathing, desire, humor, love, romance, smile, tease"
Nothing ever happens like you imagine it will,"John Green, Paper Towns","life, love, margo-roth-spiegelman, truth"
I think we ought to live happily ever after.,"Diana Wynne Jones, Howl's Moving Castle","happily-ever-after, love"
"Unless you love someone, nothing else makes sense.",E.E. Cummings,love
"With him, life was routine; without him, life was unbearable.","Harper Lee, To Kill a Mockingbird",love
Heaven would never be heaven without you.,"Richard Matheson, What Dreams May Come","heaven, love"
The best things in life make you sweaty.,Edgar Allan Poe,"inspirational, life, love, meaning-of-life, philosophical, puberty, purpose"
You are my life now.,"Stephenie Meyer, Twilight","bella, edward-cullen, entertainment, love"
"Please Mia,"" he implores. ""Don't make me write a song.","Gayle Forman, If I Stay","gayle-forman, if-i-stay, love"
Morning without you is a dwindled dawn.,Emily Dickinson,"love, morning"
It's the imperfections that make things beautiful,"Jenny Han, The Summer I Turned Pretty","awesome, love, we-ll-always-have-summer"
One day spent with someone you love can change everything.,"Mitch Albom, For One More Day","change, love, time"
There is no love sincerer than the love of food.,"George Bernard Shaw, Man and Superman","food, gluttony, love"
I don't care what you say to me. I care what you share with me.,"Santosh Kalwar, Quote Me Everyday","life-lessons, love, poetry, share"
Her heart was a secret garden and the walls were very high.,"William Goldman, The Princess Bride","buttercup, garden, heart, hidden-treasure, love, secret, the-princess-bride, walls, william-goldman"
I love you more than I think I should.,"Becca Fitzpatrick, Crescendo","love, nora, nora-grey, patch, patch-cipriano"
"The voice of Love seemed to call to me, but it was a wrong number.","P.G. Wodehouse, Very Good, Jeeves!","humor, love"
"Friends are the family you choose (~ Nin/Ithilnin, Elven rogue).","Jess C. Scott, The Other Side of Life","cyberpunk, elven, elves, family, friends, friendship, human-behavior, human-nature, humanity, humankind, humans, inside-ourselves, insight, insightful, life, life-lessons, love, meaning, meaning-of-life, nq-mobile-omar-khan, omar-khan-nq-mobile, reflection, reflective, social-commentary, social-issues, social-science, society, truth, urban-fantasy, urban-fantasy-series, ya-urban-fantasy, young-adult, young-adult-fiction, young-adult-literature, young-adult-novels, young-adult-series"
When you love someone you let them take care of you.,Jodi Picoult,love
"Love, the poet said, is woman's whole existence.","Virginia Woolf, Orlando","love, poetry, women"
nothing in this world was more difficult than love.,Gabriel García Márquez,"life, love, reality, relationships"
"I know you're tired but come, this is the way.",Jalaluddin Rumi,"divinity, love, poetry, rumi, spiritual, sufi"
"If I love you, what business is it of yours?",Johann Wolfgang von Goethe,"business, love"
There is love in holding and there is love in letting go.,"Elizabeth Berg, The Year of Pleasures","death, love, separation"
Why is love intensified by absence?,"Audrey Niffenegger, The Time Traveler's Wife","love, yearning"
The love that moves the sun and the other stars.,Elizabeth Gilbert,"inspirational, love"
They do not love that do not show their love.,"William Shakespeare, The Two Gentlemen of Verona",love
How far should a person go in the name of true love?,"Nicholas Sparks, The Choice","devotion, love, self-sacrifice, true-love"
"I'm gonna fight for you, until your heart stops beating.","Stephenie Meyer, Eclipse","devotion, love, promise"
"If I could but know his heart, everything would become easy.","Jane Austen, Sense and Sensibility",love
"But if I hadn't fallen, I wouldn't have met you.","Becca Fitzpatrick, Hush, Hush","becca-fitzpatrick, fallen-angels, hush-hush, love, nora-grey, patch-cipriano"
"And all I loved, I loved alone.",Edgar Allan Poe,love
Moving on is easy. It's staying moved on that's trickier.,Katerina Stoykova Klemer,"breaking-up, love, moving-on, relationships"
"Forever and ever, kid, until you're sick and tired of seeing me.","Marie Lu, Legend","brother, inpirational, legend, love, marie-lu, sad"
"If I were a tree, I would have no reason to love a human.","Maggie Stiefvater, The Raven Boys","deep-thoughts, humans, love, maggie-stiefvater, nature, the-raven-boys, trees"
"If I know what love is, it is because of you.",Hermann Hesse,love
To love someone means to see them as God intended them.,Fyodor Dostoyevsky,love
"Where there is great love, there are always miracles.",Willa Cather,love
"Love is the strangest, most illogical thing in the world.","Jennifer E. Smith, The Statistical Probability of Love at First Sight",love
They're in love. Fuck the war.,"Thomas Pynchon, Gravity's Rainbow","love, war"
How far would you go to keep the hope of love alive?,"Nicholas Sparks, The Choice","hope, love, nicholas, nicholas-sparks, sparks, the-choice"
"You are my heart, my life, my entire existence."" -Ash","Julie Kagawa, The Iron Queen","ash, iron-fey-trilogy, julie-kagawa, love"
Woman is sacred the woman one loves is holy.,"Alexandre Dumas, The Count of Monte Cristo","love, women, worship"
People should fall in love with their eyes closed.,Andy Warhol,love
You’re just another story I can’t tell anymore.,"pleasefindthis, I Wrote This For You","break-ups, endings, forgetting-the-past, love, past, relationships"
"A fit, healthy body—that is the best fashion statement",Jess C. Scott,"beauty, body, body-image, culture, dance, dancer, desire, fashion, fitness, food, food-for-thought, friendship, funny, girl, health, healthy, hip-hop, honesty, humor, humour, imagination, individuality, life, love, lust-for-life, music, novel, passion, reality, relationships, self, sex, truth, wisdom, young, young-adult, young-adult-fiction, young-adult-literature, young-adult-novels, young-adults, youth"
You’ve changed me forever. And I’ll never forget you.,"Kiera Cass, The Elite","america, change, goodbye, love, maxon, relationship, sad, the-elite, the-selection"
Choose your love. Love your choice.,Thomas S. Monson,"choices, love"
Then I discovered that being related is no guarantee of love!,"Stieg Larsson, The Girl with the Dragon Tattoo","family, life, life-lessons, love"
Love is a serious mental disease.,"Plato, Phaedrus",love
"I felt like an animal, and animals don’t know sin, do they?","Jess C. Scott, Wicked Lovely","body, cool, desire, erotic, erotica, funny, girl, honesty, humor, humour, incest, love, lust, passion, relationships, romance, sex, sexuality, sister, taboo, truth, wisdom"
You don’t take away my choices. You are my choice.,Colleen Houck,"love, romance"
My soul sees its equal in you.,"Renee Ahdieh, The Wrath and the Dawn","khalid, love, shahrzard"
True love begins when nothing is looked for in return.,Antoine de Saint-Exupéry,love
I wish you to know that you have been the last dream of my soul.,"Charles Dickens, A Tale of Two Cities","dreams, finality, love, soul"
you're an expert at sorry and keeping the lines blurry,Taylor Swift,"couples, heartbreak, love, missing-you, sad, song-lyrics"
"I love her, and that's the beginning and end of everything.","F. Scott Fitzgerald, Dear Scott, Dearest Zelda: The Love Letters of F. Scott and Zelda Fitzgerald",love
I will follow you to the ends of the world.,"Khaled Hosseini, A Thousand Splendid Suns",love
"I love you,’ he whispered, and kissed my brow. ‘Thorns and all.","Sarah J. Maas, A Court of Thorns and Roses","feyre, love, tamlin, thorns"
I love you enough to never make you choose.,"Katie McGarry, Pushing the Limits","echo-and-noah, family, katie-mcgarry, love, pushing-the-limits"
Wait. You think I'm going to die? That's why you slept with me?,"Richelle Mead, Shadow Kiss","love, vampire-academy"
"As your lover describes you, so you are.","Jeanette Winterson, Sexing the Cherry","love, self-fulfilling-prophecy"
"When is a monster not a monster? Oh, when you love it.","Caitlyn Siehl, Literary Sexts: A Collection of Short & Sexy Love Poems","fantasy, love, monster"
"Amor Fati – “Love Your Fate”, which is in fact your life.",Friedrich Nietzsche,"fate, inspirational, life, love"
"Neither love nor evil conquers all, but evil cheats more.","Laurell K. Hamilton, Cerulean Sins","evil, fair-play, love"
"When people fall in love, they burst into flames.","Jandy Nelson, I'll Give You the Sun",love
"Love is not a maybe thing, you know when you love someone.",Lauren Conrad,"celebrities, love, true-love"
"I love you"" I say.""I love you, too"" he says. ""I'll see you soon.","Veronica Roth, Allegiant","four, love, tris"
Even on my weakest daysI get a little bit stronger,Sara Evans,"breaking-up, couples, letting-go, love, relationship, sad"
Would he find her?Without question.Would he save her?Always.,"Lauren Kate, Torment",love
A heart filled with anger has no room for love.,"Joan Lunden, Wake-Up Calls","anger, forgiveness, love"
A man can be happy with any woman as long as he does not love her.,"Oscar Wilde, The Picture of Dorian Gray","love, man, woman"
"Love wins, love always wins.","Mitch Albom, Tuesdays with Morrie",love
I don't like it when I outweigh my men.,"Patricia Briggs, Moon Called","humor, love, women"
To love is to recognize yourself in another.,Eckhart Tolle,love
"Yes... it wasn't over, it still isn't over.",Nicholas Sparks,love
You had to know a person well to make them laugh like that.,"Cassandra Clare, Clockwork Prince","friendship, laughter, love"
"And you can't love, not fully, unless you are loved in return.","Lauren Oliver, Requiem",love
If two people love each other there can be no happy end to it.,Ernest Hemingway,love
"The fact is…I’m in love with you, and I have been for some time.","Colleen Houck, Tiger's Curse","love, romance"
"Oh, Lizzy! do anything rather than marry without affection.","Jane Austen, Pride and Prejudice","affection, duty, feelings, integrity, joy, love, marriage, matrimony, romance, self-determination"
"She's my kitten, and no one else's.","Jeaniene Frost, One Foot in the Grave","love, vampire"
Work without love is slavery.,Mother Teresa,"faith, love, work"
I love you more than I hate everything else.,"Rainbow Rowell, Landline","love, marriage"
"Love, like fire, goes out without fuel.","Mikhail Lermontov, A Hero of Our Time","fire, love"
"But you're the only one, Scarlet. You'll always be the only one.","Marissa Meyer, Scarlet","love, lunar-chronicles, scarlet, wolf"
"If you’re smart, you care. And if you care, you love.","Lauren Oliver, Pandemonium",love
i carry your heart with me(i carry it in my heart),"E.E. Cummings, Selected Poems","love, poetry"
You made me feel alive again.,"Julie Kagawa, The Iron King","life, love"
To love is to suffer and there can be no love otherwise.,"Fyodor Dostoyevsky, Notes from Underground",love
Everybody is a main character to someone...,"Amy Harmon, Making Faces",love
Unrequited love is the infinite curse of a lonely heart.,Christina Westover,"christina-westover, inspiration, life, lily-sauvage, love, muse, past-relationships, relationships, unrequited-love"
You looove me. (holds out arms) You love me this much.,"James Patterson, Saving the World and Other Extreme Sports","fang, humor, love, love-struck, max, maxride"
I want you to be weak. As weak as I am.,"Milan Kundera, The Unbearable Lightness of Being",love
Each time you happen to me all over again.,"Edith Wharton, The Age of Innocence","awe, love"
"Make me into anything, but just love me.","Chuck Palahniuk, Invisible Monsters",love
"What I cannot love, I overlook.",Anaïs Nin,"forgiveness, love, sanity"
"Every time I think I'm missing a piece of me, you give it back.","Cassandra Clare, City of Heavenly Fire","clace, clary-fray, herondale, jace, love, shadowhunters"
"Close your eyes and I'll kiss you, Tomorrow I'll miss you.",Paul McCartney,"beatles, kiss, love, miss-you, music, song-lyrics, tomorrow"
"Being in love, I find myself smiling for no reason at all...","Nicholas Sparks, Dear John",love
"If you love someone, you must be prepared to set them free.","Paulo Coelho, The Winner Stands Alone","coelho, love"
Love is too precious to be ashamed of.,"Laurell K. Hamilton, A Stroke of Midnight","happiness, inspirational, love, prejudice, romance"
He was the toast to her butter.,"Nicholas Sparks, The Lucky One","compatibility, love"
Like some wines our love could neither mature nor travel.,"Graham Greene, The Comedians","breakup, love, romance"
Love is a striking example of how little reality means to us.,"Marcel Proust, In Search of Lost Time",love
The more boys I meet the more I love my dog.,Carrie Underwood,"boys, carrie-underwood, dogs, love"
Hate looks like everybody else until it smiles,Tahereh Mafi,"dystopia, hate, inspirational, love, shatter-me, young-adult"
"She's mad, but she's magic. There's no lie in her fire.",Charles Bukowski,"fire, love, magic, women"
Tears are words the heart can't express,Gerard Way,"definitions, life, love"
I think you can only be truly mad at someone you really love.,"E.L. James, Fifty Shades Freed","love, madly-in-love, true-love"
"Ultimately, it is the desire, not the desired, that we love.",Friedrich Nietzsche,"desire, love"
Every life has one true love snapshot.,"Mitch Albom, The Five People You Meet in Heaven",love
Sweets to the sweet.,"William Shakespeare, Hamlet","death, love, shakespeare"
My head’ll explode if I continue with this escapism.,"Jess C. Scott, EyeLeash: A Blog Novel","body, books, cool, culture, desire, emotion, friendship, funny, girl, honesty, humor, humour, imagination, individuality, life, love, music, novel, passion, reality, relationships, romance, self, sex, technology, truth, wisdom, young, youth"
I just...I just miss him. And I hate being so alone.,"Suzanne Collins, The Hunger Games","katniss, love, missing-you, peeta, relationships, the-hunger-games"
"I got my heart's desire, and there my troubles began.","Lev Grossman, The Magicians","desire, love, relationships, trouble"
Life is a gift. Don't forget to live it.,"Nicola Yoon, Everything, Everything","inspirational, life, love, young-adult"
Know that love is truly timeless.,Mary M. Ricksen,"love, romance, time-travel, trust"
How could I have ever been ashamed of loving Dante Quintana?,"Benjamin Alire Sáenz, Aristotle and Dante Discover the Secrets of the Universe",love
We're all golden sunflowers inside.,Allen Ginsberg,"contentment, happiness, love"
Those whom we most love are often the most alien to us.,"Christopher Paolini, Eldest","closeness, family, love"
Love makes us such fools.,"Leslye Walton, The Strange and Beautiful Sorrows of Ava Lavender",love
Submission is not about authority and it is not obedience, it is all about relationships of love and respect.,"William Paul Young, The Shack"
Love is like breathing. You take it in and let it out.,"Wally Lamb, She's Come Undone",love
Hate is... It's too easy. Love. Love takes courage.,"Hannah Harrington, Speechless","hate, love, wisdom"
What's a fuck when what I want is love?,Henry Miller,"love, sex"
You honestly expect me to breathe in a world without air?,"Renee Ahdieh, The Wrath and the Dawn","breathe, love"
Nobody ever gets what they want when it comes to love.,Scott Turow,"disappointment, love, melancholy"
"I love you,"" I said, and stabbed him.","Sarah J. Maas, A Court of Thorns and Roses","feyre, love, stabbed, tamlin"
"When someone blushes, doesn't that mean 'yes'?","Antoine de Saint-Exupéry, The Little Prince",love
How can something so wrong feel so right?,"Tabitha Suzuma, Forbidden",love
I don't think you can define love.,Harry Styles,"cute, harry-styles, love, one-direction"
It's hard to love a woman and do anything.,"Leo Tolstoy, Anna Karenina","love, woman"
"If equal affection cannot be,Let the more loving one be me.",W.H. Auden,"affection, equality, love, relationships"
There will never be no love at all.,Bob Marley,"double-negatives, love"
I love you and it's getting worse.,Joseph E. Morris,"devotion, humor, love"
"I believe in love the verb, not the noun.","Greg Behrendt, He's Just Not That Into You: The No-Excuses Truth to Understanding Guys","love, relationships"
I'm sorry. I know you loved her. It was hard not to.,"John Green, Looking for Alaska",love
I...will never...regret you.,"Colleen Hoover, Maybe Someday",love
There is no charm equal to tenderness of heart.,Jane Austen,love
Love is honesty. Love is a mutual respect for one another.,"Simone Elkeles, Leaving Paradise","honesty, love, respect"
He offered her the world. She said she had her own.,Monique Duval,"freedom, love, monique-duval, relationship"
The right thing at the wrong tme is the wrong thing.,"Joshua Harris, I Kissed Dating Goodbye","inspirational, love, timing"
Love is a rebellious bird that nobody can tame.,"Veronica Rossi, Through the Ever Night","ficbookreview-s-fave, love, romance"
I don't let nobody see me wishin' he was mine,Taylor Swift,"i-d-lie, love, lyrics, songs, taylor-swift, unknown-love"
"If a writer falls in love with you, you can never die.",Mik Everett,"love, writer, writing"
"When you know my love, my love will warm you.",Ruby Dee,"amity, love"
Love is—a shade of what I feel.,"Renee Ahdieh, The Wrath and the Dawn","khalid, love"
I needed him like I'd never needed anyone.,"Becca Fitzpatrick, Crescendo","love, nora, nora-grey, patch-cipriano"
"Every day People straighten up the hair, why not the heart?",Ernesto Che Guevara,"inspirational, love, motivation, passion"
A weed is but an unloved flower.,Ella Wheeler Wilcox,"acceptance, flowers, gardening, love, weeds"
Remember. The way you make love is the way God will be with you.,Jalaluddin Rumi,love
The only queer people are those who don't love anybody.,Rita Mae Brown,"gay, lesbian, lgbt, love, queer"
You have my whole heart. You always did.,"Cormac McCarthy, The Road","faithfulness, fidelity, love"
"Why, darling, I don't live at all when I'm not with you.","Ernest Hemingway, A Farewell to Arms","a-farewell-to-arms, ernest-hemingway, love"
The Heart wants what it wants - or else it does not care,Emily Dickinson,love
Love is a possible strength in an actual weakness.,"Thomas Hardy, Far from the Madding Crowd",love
Men build too many walls and not enough bridges.,Joseph Fort Newton,"bigotry, bridges, compassion, culture, culture-wars, cultures, empathy, hate, hatred, inspirational, intolerance, love, men, misattributed, misattributed-to-isaac-newton, racism, separation, sympathy, tolerance, understanding, walls"
A woman should soften but not weaken a man.,Sigmund Freud,love
I want someone whose heart is big enough to hold me.,"Rainbow Rowell, Attachments","life, love"
Love me like you'll never see me again.,Alicia Keys,"love, proposition"
"When you fish for love, bait with your heart, not your brain.","Mark Twain, Notebook","love, romantic-advice"
You might be looking for reasons but there are no reasons.,"Nina LaCour, Hold Still","friendship, love, reason, regret, suicide"
"If it weren't for music, I would think that love is mortal.","Mark Helprin, A Soldier of the Great War","love, music, power-of-music"
People do the damndest things when they’re in love.,"Jennifer L. Armentrout, Half-Blood",love
"Never, never, never. I am never going to forget you.","Alexandra Bracken, The Darkest Minds","lee, liam, love, ruby"
Never forget that justice is what love looks like in public.,Cornel West,"justice, love, society, wisdom"
And the story of love is a long sad tale ending in graves.,Jack Kerouac,love
"Love is hard to find, hard to keep, and hard to forget.",Alysha Speer,"broken-heart, life, lonely, love, love-hurts, lover, memories, remember"
Physical love is unthinkable without violence.,"Milan Kundera, The Unbearable Lightness of Being","love, relationships, romance, violence"
He is ugly and sad... but he is all love.,"Gabriel García Márquez, Love in the Time of Cholera",love
The only way of knowing a person is to love them without hope.,Walter Benjamin,"hope, love"
Living simply makes loving simple.,bell hooks,"love, simplicity"
Physics isn't the most important thing. Love is.,Richard Feynman,"love, philosophy, physics, priorities"
Love those you hate you.,"Leo Tolstoy, Anna Karenina","hate, inspirational, love"
Why is the measure of love loss?,"Jeanette Winterson, Why Be Happy When You Could Be Normal?","loss, love"
Love is so unpredictable. That's what makes it so great.,"Sarah Dessen, This Lullaby",love
"In love, one and one are one.",Jean-Paul Sartre,love
None of us can choose where we shall love...,"Susan  Kay, Phantom","empathy, love, opera, passion, phantom, sympathy, understanding"
Remembering. Forgetting. I'm not sure which is worse.,"Kelley Armstrong, The Calling","friendship, loss, love, pain"
Loving's pretty easy. It's letting someone love you that's hard.,"Rita Mae Brown, Riding Shotgun",love
For she had eyes and chose me.,"William Shakespeare, Othello","beauty, eyes, looks, love, love-story, lovers"
We are asleep until we fall in Love!,"Leo Tolstoy, War and Peace",love
"You are protected, in short, by your ability to love!","J.K. Rowling, Harry Potter and the Half-Blood Prince","goodness, love"
Hearts Live By Being Wounded,Oscar Wilde,"heart, love, oscar-wilde, wound"
The language of love letters is the same as suicide notes.,"Courtney Love, Dirty Blonde: The Diaries of Courtney Love","death, language, love, suicide"
He was afraid of defiling the love which filled his soul.,"Leo Tolstoy, Anna Karenina","anna-karenina, fear, levin, love"
"Nothing in life is worth,turning your back on,if you love it.",Albert Camus,"life, love"
Eternity is in love with the productions of time.,"William Blake, The Marriage of Heaven and Hell","love, time"
You are my butterfly and refuse to set you free.,Shannon Hale,"freedom, love"
Love as thou wilt,"Jacqueline Carey, Kushiel's Chosen",love
"But everyone disappears, no matter who loves them.","Dave Eggers, What Is the What","fatalism, love"
"But, my God, it's so beautiful when the boy smiles",Anna Nalick,"boyfriend, love, missing-you, romance, smile, song-lyrics"
You can never be wise and be in love at the same time.,Bob Dylan,"bob-dylan, love"
"Jealous?""""Maybe.""""No reason. I like my ladies with a pulse.","Rachel Caine, Feast of Fools","love, vampires"
Love simply is.,"Paulo Coelho, The Witch Of Portobello",love
"I never lie,"" I said offhand. ""At least not to those I don't love.","Anne Rice, The Vampire Lestat","compassion, deciet, hate, interview-with-the-vampire, lestat, lie, lies, love, lovers, lying, secret, secrets, truth, vampire, vampires"
"But why, why, why can't people just say what they mean?","Graeme Simsion, The Rosie Project","confusion, love, relationships, the-rosie-project"
Soul meets soul on lovers lips.,Percy Bysshe Shelley,"love, romantic"
Sometimes I get real lonely sleeping with you.,"Haruki Murakami, A Wild Sheep Chase","loneliness, love, relationships, sex"
Westley: This is true love — you think this happens every day?,"William Goldman, The Princess Bride","humor, love"
Love is a drama of contradictions.,Franz Kafka,love
Friendship often ends in love. But love in friendship never. ,Charles Caleb Colton,"friendship, love"
I think Heaven will be like a first kiss.,"Sarah Addison Allen, The Sugar Queen","first-kiss, heaven, kisses, love"
You know that I could as soon forget you as my existence!,"Emily Brontë, Wuthering Heights",love
You can’t leave yet. I’m not finished falling in love with you.,"Colleen Hoover, November 9",love
"If we’re going to kiss, it has to be book-worthy.","Colleen Hoover, November 9","kiss, love"
For which of my bad parts didst thou first fall in love with me?,"William Shakespeare, Much Ado About Nothing",love
Stains are even worse when you're the only one who can see them.,"Gayle Forman, Just One Day","love, stains, willem"
Love! Love until the night collapses!,"Pablo Neruda, Machu Picchu",love
I didn't know love could leave the lights on all the time.,"Rainbow Rowell, Attachments",love
twice I have lived forever in a smile,E.E. Cummings,"cummings, love, poetry, smiling"
May you live as long as you wish and love as long as you live.,Robert A. Heinlein,"benediction, blessing, life, love"
Self-talk reflects your innermost feelings.,Asa Don Brown,"counsel, counsellor, counselor, humanity, joy, kindness, love, peace, psychological, psychology, self-esteem, self-talk, self-worth, spiritual-indwelling, spiritual-life, spirituality"
"Everything I know, I know because of love.","Leo Tolstoy, War and Peace","fiction, love"
"If I could bronze my love, it’d be worthy of a silver medal. ","Dark Jar Tin Zoo, Love Quotes for the Ages. Specifically Ages 19-91.","bronze, funny, humor, love, medal, silver-medal, value, word-junkies, worth, worthy"
Do not allow me to forget you,"Gabriel García Márquez, Of Love and Other Demons","forgetting, love"
"If you love me, Henry, you don’t love me in a way I understand.","Richard Siken, Crush","love, poetry"
Happiness is part of who we are. Joy is the feeling,"Tony DeLiso, Legacy: The Power Within","abundance, balance, better, book, change, empowerment, expression, freedom, fulfillment, fun, greater, happiness, health, help, hope, improvement, joy, life, love, meditation, money, more, peace, perfect, power, relaxation, self, self-expression, self-help-book, self-improvement-book, self-realization, success, wealth, your"
We live in a dark and romantic and quite tragic world.,Karl Lagerfeld,"dark, designer, fashion, karl-lagerfeld, life, live, living, love, romance, tragic, world"
Everything that happens to you matters to me.,"Cassandra Clare, City of Fallen Angels","care, clary-fray, jace, love, teens"
